name,technology,bidding_EOM,bidding_CRM_pos,bidding_CRM_neg,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,heat_extraction,max_heat_extraction,unit_operator
Kaiga Generating Station Unit 1,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Kaiga Generating Station Unit 1
Kaiga Generating Station Unit 2,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Kaiga Generating Station Unit 2
Kaiga Generating Station Unit 3,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Kaiga Generating Station Unit 3
Kaiga Generating Station Unit 4,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Kaiga Generating Station Unit 4
Kakrapar Atomic Power Station Unit 1,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Kakrapar Atomic Power Station Unit 1
Kakrapar Atomic Power Station Unit 2,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Kakrapar Atomic Power Station Unit 2
Kakrapar Atomic Power Station Unit 3,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,700,280,0.33,,,,,,,,,,,Kakrapar Atomic Power Station Unit 3
Kakrapar Atomic Power Station Unit 4,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,700,280,0.33,,,,,,,,,,,Kakrapar Atomic Power Station Unit 4
Kudankulam Atomic Power Project Unit 1,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,1000,400,0.33,,,,,,,,,,,Kudankulam Atomic Power Project Unit 1
Kudankulam Atomic Power Project Unit 2,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,1000,400,0.33,,,,,,,,,,,Kudankulam Atomic Power Project Unit 2
Madras Atomic Power Station Unit 1,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Madras Atomic Power Station Unit 1
Madras Atomic Power Station Unit 2,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Madras Atomic Power Station Unit 2
Narora Atomic Power Station Unit 1,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Narora Atomic Power Station Unit 1
Narora Atomic Power Station Unit 2,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Narora Atomic Power Station Unit 2
Rajasthan Atomic Power Station Unit 2,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,200,80,0.33,,,,,,,,,,,Rajasthan Atomic Power Station Unit 2
Rajasthan Atomic Power Station Unit 3,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Rajasthan Atomic Power Station Unit 3
Rajasthan Atomic Power Station Unit 4,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Rajasthan Atomic Power Station Unit 4
Rajasthan Atomic Power Station Unit 5,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Rajasthan Atomic Power Station Unit 5
Rajasthan Atomic Power Station Unit 6,nuclear,powerplant_energy_heuristic_flexable,,,uranium,0,220,88,0.33,,,,,,,,,,,Rajasthan Atomic Power Station Unit 6
