name,technology,bidding_EOM,bidding_CRM_pos,bidding_CRM_neg,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,capacity,additional_cost_charge,additional_cost_discharge,natural_inflow,unit_operator
Bhira PSS (Pump Storage Scheme) Hydroelectric Power Project,PSPP,storage_energy_heuristic_flexable,,,150,150,0.83,0.8872,0,1,150,0,0,0,Tata Power Company Limited (TPCL)
Ghatgarh Hydroelectric Power Project1,PSPP,storage_energy_heuristic_flexable,,,125,125,0.83,0.8872,0,1,125,0,0,0,Maharashtra State Power Generation Company (MAHAGENCO)
Ghatgarh Hydroelectric Power Project 2,PSPP,storage_energy_heuristic_flexable,,,125,125,0.83,0.8872,0,1,125,0,0,0,Maharashtra State Power Generation Company (MAHAGENCO)
Kadana Hydroelectric Power Project1,PSPP,storage_energy_heuristic_flexable,,,60,60,0.83,0.8872,0,1,60,0,0,0,Gujarat State Electricity Corporation Limited (GSECL)
Kadana Hydroelectric Power Project2,PSPP,storage_energy_heuristic_flexable,,,60,60,0.83,0.8872,0,1,60,0,0,0,Gujarat State Electricity Corporation Limited (GSECL)
Kadana Hydroelectric Power Project3,PSPP,storage_energy_heuristic_flexable,,,60,60,0.83,0.8872,0,1,60,0,0,0,Gujarat State Electricity Corporation Limited (GSECL)
Kadana Hydroelectric Power Project4,PSPP,storage_energy_heuristic_flexable,,,60,60,0.83,0.8872,0,1,60,0,0,0,Gujarat State Electricity Corporation Limited (GSECL)
Kadmparai Power House1,PSPP,storage_energy_heuristic_flexable,,,100,100,0.83,0.8872,0,1,100,0,0,0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO)
Kadmparai Power House2,PSPP,storage_energy_heuristic_flexable,,,100,100,0.83,0.8872,0,1,100,0,0,0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO)
Kadmparai Power House3,PSPP,storage_energy_heuristic_flexable,,,100,100,0.83,0.8872,0,1,100,0,0,0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO)
Kadmparai Power House4,PSPP,storage_energy_heuristic_flexable,,,100,100,0.83,0.8872,0,1,100,0,0,0,Tamil Nadu Generation & Distribution Co. Limited (TANGEDCO)
Nagarjuna Sagar (N.J.Sagar) Hydroelectric Power Project1,PSPP,storage_energy_heuristic_flexable,,,100.8,100.8,0.83,0.8872,0,1,100.8,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Nagarjuna Sagar (N.J.Sagar) Hydroelectric Power Project2,PSPP,storage_energy_heuristic_flexable,,,100.8,100.8,0.83,0.8872,0,1,100.8,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Nagarjuna Sagar (N.J.Sagar) Hydroelectric Power Project3,PSPP,storage_energy_heuristic_flexable,,,100.8,100.8,0.83,0.8872,0,1,100.8,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Nagarjuna Sagar (N.J.Sagar) Hydroelectric Power Project4,PSPP,storage_energy_heuristic_flexable,,,100.8,100.8,0.83,0.8872,0,1,100.8,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Nagarjuna Sagar (N.J.Sagar) Hydroelectric Power Project5,PSPP,storage_energy_heuristic_flexable,,,100.8,100.8,0.83,0.8872,0,1,100.8,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Nagarjuna Sagar (N.J.Sagar) Hydroelectric Power Project6,PSPP,storage_energy_heuristic_flexable,,,100.8,100.8,0.83,0.8872,0,1,100.8,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Nagarjuna Sagar (N.J.Sagar) Hydroelectric Power Project7,PSPP,storage_energy_heuristic_flexable,,,100.8,100.8,0.83,0.8872,0,1,100.8,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Pinnapuram (Standalone Pumped Storage ) Hydro Power Project1,PSPP,storage_energy_heuristic_flexable,,,240,240,0.83,0.8872,0,1,240,0,0,0,Greenko Energies Private. Limited (GEPL)
Pinnapuram (Standalone Pumped Storage ) Hydro Power Project2,PSPP,storage_energy_heuristic_flexable,,,240,240,0.83,0.8872,0,1,240,0,0,0,Greenko Energies Private. Limited (GEPL)
Pinnapuram (Standalone Pumped Storage ) Hydro Power Project3,PSPP,storage_energy_heuristic_flexable,,,240,240,0.83,0.8872,0,1,240,0,0,0,Greenko Energies Private. Limited (GEPL)
Pinnapuram (Standalone Pumped Storage ) Hydro Power Project4,PSPP,storage_energy_heuristic_flexable,,,240,240,0.83,0.8872,0,1,240,0,0,0,Greenko Energies Private. Limited (GEPL)
Pinnapuram (Standalone Pumped Storage ) Hydro Power Project5,PSPP,storage_energy_heuristic_flexable,,,240,240,0.83,0.8872,0,1,240,0,0,0,Greenko Energies Private. Limited (GEPL)
Pinnapuram (Standalone Pumped Storage ) Hydro Power Project6,PSPP,storage_energy_heuristic_flexable,,,120,120,0.83,0.8872,0,1,120,0,0,0,Greenko Energies Private. Limited (GEPL)
Pinnapuram (Standalone Pumped Storage ) Hydro Power Project7,PSPP,storage_energy_heuristic_flexable,,,120,120,0.83,0.8872,0,1,120,0,0,0,Greenko Energies Private. Limited (GEPL)
Pinnapuram (Standalone Pumped Storage ) Hydro Power Project8,PSPP,storage_energy_heuristic_flexable,,,240,240,0.83,0.8872,0,1,240,0,0,0,Greenko Energies Private. Limited (GEPL)
Purulia Hydroelectric Power Project1,PSPP,storage_energy_heuristic_flexable,,,225,225,0.83,0.8872,0,1,225,0,0,0,West Bengal State Electricity Distribution Company Limited (WBSEDCL)
Purulia Hydroelectric Power Project2,PSPP,storage_energy_heuristic_flexable,,,225,225,0.83,0.8872,0,1,225,0,0,0,West Bengal State Electricity Distribution Company Limited (WBSEDCL)
Purulia Hydroelectric Power Project3,PSPP,storage_energy_heuristic_flexable,,,225,225,0.83,0.8872,0,1,225,0,0,0,West Bengal State Electricity Distribution Company Limited (WBSEDCL)
Purulia Hydroelectric Power Project4,PSPP,storage_energy_heuristic_flexable,,,225,225,0.83,0.8872,0,1,225,0,0,0,West Bengal State Electricity Distribution Company Limited (WBSEDCL)
Sardar Sarovar River Bed Power House (RBPH)1,PSPP,storage_energy_heuristic_flexable,,,200,200,0.83,0.8872,0,1,200,0,0,0,Sardar Sarovar Narmada Nigam Limited (SSNNL)
Sardar Sarovar River Bed Power House (RBPH)2,PSPP,storage_energy_heuristic_flexable,,,200,200,0.83,0.8872,0,1,200,0,0,0,Sardar Sarovar Narmada Nigam Limited (SSNNL)
Sardar Sarovar River Bed Power House (RBPH)3,PSPP,storage_energy_heuristic_flexable,,,200,200,0.83,0.8872,0,1,200,0,0,0,Sardar Sarovar Narmada Nigam Limited (SSNNL)
Sardar Sarovar River Bed Power House (RBPH)4,PSPP,storage_energy_heuristic_flexable,,,200,200,0.83,0.8872,0,1,200,0,0,0,Sardar Sarovar Narmada Nigam Limited (SSNNL)
Sardar Sarovar River Bed Power House (RBPH)5,PSPP,storage_energy_heuristic_flexable,,,200,200,0.83,0.8872,0,1,200,0,0,0,Sardar Sarovar Narmada Nigam Limited (SSNNL)
Sardar Sarovar River Bed Power House (RBPH)6,PSPP,storage_energy_heuristic_flexable,,,200,200,0.83,0.8872,0,1,200,0,0,0,Sardar Sarovar Narmada Nigam Limited (SSNNL)
Srisailam Left Bank Power House1,PSPP,storage_energy_heuristic_flexable,,,150,150,0.83,0.8872,0,1,150,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Srisailam Left Bank Power House2,PSPP,storage_energy_heuristic_flexable,,,150,150,0.83,0.8872,0,1,150,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Srisailam Left Bank Power House3,PSPP,storage_energy_heuristic_flexable,,,150,150,0.83,0.8872,0,1,150,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Srisailam Left Bank Power House4,PSPP,storage_energy_heuristic_flexable,,,150,150,0.83,0.8872,0,1,150,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Srisailam Left Bank Power House5,PSPP,storage_energy_heuristic_flexable,,,150,150,0.83,0.8872,0,1,150,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Srisailam Left Bank Power House6,PSPP,storage_energy_heuristic_flexable,,,150,150,0.83,0.8872,0,1,150,0,0,0,Telangana State Power Generation Corporation Limited (TSGENCO)
Tehri Pumped Storage Hydro Power Project1,PSPP,storage_energy_heuristic_flexable,,,250,250,0.83,0.8872,0,1,250,0,0,0,Tehri Hydro Development Corporation (THDC)
Tehri Pumped Storage Hydro Power Project2,PSPP,storage_energy_heuristic_flexable,,,250,250,0.83,0.8872,0,1,250,0,0,0,Tehri Hydro Development Corporation (THDC)
Tehri Pumped Storage Hydro Power Project3,PSPP,storage_energy_heuristic_flexable,,,250,250,0.83,0.8872,0,1,250,0,0,0,Tehri Hydro Development Corporation (THDC)
